rowID,studyID,arm_id,arm_des,data_source,abstractor,country,city,special_pop_description,special_pop,pub_year,author,doi,sample_collection_startyear,sample_collection_startmo,sample_collection_endyear,sample_collection_endmo,pop_vac,age_min,age_max,isolate_type,isolate_col,method_1,method_2,criteria,criteria_specify,drug_class,drug,total_isolates_drug,no_ns,no_res,no_int,no_sus,perc_ns,perc_res,perc_int,perc_sus
1,3189,,,1,B,Vietnam,,,0,2000,Parry,10.1128/AAC.44.3.484-488.2000,2000,,2000,,No,1,16,0,1,4,,1,,penicillin,Penicillin,399,212,76,136,,0.531,0.19,0.34,
2,3189,,,1,B,Vietnam,,,0,2000,Parry,10.1128/AAC.44.3.484-488.2000,2000,,2000,,No,1,16,0,1,4,,1,,macrolide,Erythromycin,399,,201,,,,0.504,,
3,3189,,,1,B,Vietnam,,,0,2000,Parry,10.1128/AAC.44.3.484-488.2000,2000,,2000,,No,1,16,0,1,4,,1,,3gen_cephalosporin,Ceftriaxone,399,57,5,52,,0.143,0.0125,0.1303,
4,3189,,,1,B,Vietnam,,,0,2000,Parry,10.1128/AAC.44.3.484-488.2000,2000,,2000,,No,1,16,0,1,4,,1,,SXT,SXT,263,111,69,42,,0.422,0.262,0.16,
5,3189,,,1,B,Vietnam,,,0,2000,Parry,10.1128/AAC.44.3.484-488.2000,2000,,2000,,No,1,16,0,1,4,,1,,chloramphenicol,Chloramphenicol,399,,157,,,,0.393,,
6,3189,,,1,B,Vietnam,,,0,2000,Parry,10.1128/AAC.44.3.484-488.2000,2000,,2000,,No,1,16,0,1,4,,1,,tetracycline,Tetracycline,399,285,280,5,,0.714,0.702,0.0125,
7,3173,,,1,B,Russia,"Moscow, Smolensk, Yartsevo",,0,2000,Stratchounski,10.1097/00006454-200003000-00004,2000,,2000,,No,0,7,0,1,2,,1,,penicillin,Penicillin,305,23,0,23,282,0.075,0,0.075,0.925
8,3173,,,1,B,Russia,"Moscow, Smolensk, Yartsevo",,0,2000,Stratchounski,10.1097/00006454-200003000-00004,2000,,2000,,No,0,7,0,1,2,,1,,penicillin,Amoxicillin,305,0,0,0,305,0,0,0,1
9,3173,,,1,B,Russia,"Moscow, Smolensk, Yartsevo",,0,2000,Stratchounski,10.1097/00006454-200003000-00004,2000,,2000,,No,0,7,0,1,2,,1,,macrolide,Erythromycin,305,14,13,1,291,0.046,0.043,0.003,0.954
10,3173,,,1,B,Russia,"Moscow, Smolensk, Yartsevo",,0,2000,Stratchounski,10.1097/00006454-200003000-00004,2000,,2000,,No,0,7,0,1,2,,1,,macrolide,Clarithromycin,305,14,13,1,291,0.046,0.043,0.003,0.954
11,3173,,,1,B,Russia,"Moscow, Smolensk, Yartsevo",,0,2000,Stratchounski,10.1097/00006454-200003000-00004,2000,,2000,,No,0,7,0,1,2,,1,,SXT,SXT,305,163,33,130,142,0.534,0.108,0.426,0.466
12,3162,,,1,B,Malawi,,,0,2000,Walsh,10.1097/00006454-200004000-00010,2000,,2000,,No,0,15,1,2,1,,1,,penicillin,Penicillin,57,,12,,,,0.21,,
13,3162,,,1,B,Malawi,,,0,2000,Walsh,10.1097/00006454-200004000-00010,2000,,2000,,No,0,15,1,2,1,,1,,macrolide,Erythromycin,57,,0,,,,0,,
14,3162,,,1,B,Malawi,,,0,2000,Walsh,10.1097/00006454-200004000-00010,2000,,2000,,No,0,15,1,2,1,,1,,chloramphenicol,Chloramphenicol,57,,4,,,,0.07,,
15,3162,,,1,B,Malawi,,,0,2000,Walsh,10.1097/00006454-200004000-00010,2000,,2000,,No,0,15,1,2,1,,1,,SXT,SXT,57,,56,,,,0.98,,
16,3162,,,1,B,Malawi,,,0,2000,Walsh,10.1097/00006454-200004000-00010,2000,,2000,,No,0,15,1,2,1,,1,,tetracycline,Tetracycline,57,,12,,,,0.21,,
17,3153,A,Inpatients (35 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,penicillin,Penicillin,17,5,0,5,12,0.294117647,0,0.294117647,0.705882353
18,3153,A,Inpatients (35 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,SXT,SXT,17,4,0,4,13,0.235294118,0,0.235294118,0.764705882
19,3153,A,Inpatients (35 Children),1,B,Central African Republic,355,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,tetracycline,Tetracycline,17,11,10,1,6,0.647058824,0.588235294,0.058823529,0.352941177
20,3153,A,Inpatients (35 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,chloramphenicol,Chloramphenicol,17,3,3,0,14,0.176470588,0.176470588,0,0.823529412
21,3153,A,Inpatients (35 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,macrolide,Erythromycin,17,0,0,0,17,0,0,0,1
22,3153,A,Inpatients (35 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,lincosamides,Clindamycin,17,0,0,0,17,0,0,0,1
23,3153,B,Outpatients (371 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,penicillin,Penicillin,272,24,0,25,248,0.088235294,0,0.091911765,0.911764706
24,3153,B,Outpatients (371 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,SXT,SXT,272,17,2,15,255,0.0625,0.007352941,0.055147059,0.9375
25,3153,B,Outpatients (371 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,tetracycline,Tetracycline,272,115,98,17,157,0.422794118,0.360294118,0.0625,0.577205882
26,3153,B,Outpatients (371 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,chloramphenicol,Chloramphenicol,272,25,25,0,247,0.091911765,0.091911765,0,0.908088235
27,3153,B,Outpatients (371 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,macrolide,Erythromycin,272,0,0,0,272,0,0,0,1
28,3153,B,Outpatients (371 Children),1,B,Central African Republic,,,0,2000,Rowe,10.1097/00006454-200005000-00009,1995,1,1995,2,No,0.166,4.916,0,1,2,,1,,lincosamides,Clindamycin,272,0,0,0,272,0,0,0,1
29,3150,,,1,B,Greece,,,0,2000,Syrogiannopoulos,10.1007/s100960050477,1997,2,1998,4,No,0.166,2,0,1,1,2,1,,penicillin,Penicillin,421,70,32,38,351,0.166,0.076,0.09,0.834
30,3150,,,1,B,Greece,,,0,2000,Syrogiannopoulos,10.1007/s100960050477,1997,2,1998,4,No,0.166,2,0,1,1,2,1,,3gen_cephalosporin,Cefotaxime,421,24,2,22,397,0.057,0.005,0.052,0.943
31,3150,,,1,B,Greece,,,0,2000,Syrogiannopoulos,10.1007/s100960050477,1997,2,1998,4,No,0.166,2,0,1,1,2,1,,macrolide,Erythromycin,421,79,76,3,342,0.188,0.181,0.007,0.812
32,3150,,,1,B,Greece,,,0,2000,Syrogiannopoulos,10.1007/s100960050477,1997,2,1998,4,No,0.166,2,0,1,1,2,1,,lincosamides,Clindamycin,421,53,52,1,368,0.126,0.124,0.002,0.874
33,3150,,,1,B,Greece,,,0,2000,Syrogiannopoulos,10.1007/s100960050477,1997,2,1998,4,No,0.166,2,0,1,1,2,1,,tetracycline,Tetracycline,421,72,69,3,349,0.171,0.164,0.007,0.829
34,3150,,,1,B,Greece,,,0,2000,Syrogiannopoulos,10.1007/s100960050477,1997,2,1998,4,No,0.166,2,0,1,1,2,1,,chloramphenicol,Chloramphenicol,421,52,52,0,369,0.124,0.124,0,0.876
