,rowID,studyID,arm_id,arm_des,country,city,special_pop_description,special_pop,pub_year,author,doi,sample_collection_startyear,sample_collection_startmo,sample_collection_endyear,sample_collection_endmo,pop_vac,age_min,age_max,isolate_type,isolate_col,method_1,method_2,criteria,criteria_specify,drug_class,drug,serotype,serotype_isolates,no_ns,no_res,no_res_sub,no_int,no_sus,perc_ns,perc_res,perc_int,perc_sus,gbd_coding,region,region_code,super_region,super_region_code,country_caps,country_lc,country_spaces,ISO_code,gavi,who_region,world_bank,intro_status,program_type,intro_date,current_formula,switch_date,current_formula_start,current_formula_end,product_switch,product_switch_details,old_formula,old_formula_start,old_formula_end,intro_year
1,NA,3422,A,2005-2009,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2005,1,2009,12,NA,0,5,1,2,1,NA,1,NA,penicillin,Penicillin,19A,44,30,5,39,25,14,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
2,NA,3422,A,2005-2009,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2005,1,2009,12,NA,0,5,1,2,1,NA,1,NA,macrolide,Erythromycin,19A,44,9,9,35,NA,35,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
3,NA,3422,A,2005-2009,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2005,1,2009,12,NA,0,5,1,2,1,NA,1,NA,SXT,SXT,19A,44,36,29,15,7,8,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
4,NA,3422,B,2011-2015,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2011,1,2015,NA,NA,0,5,1,2,1,NA,1,NA,penicillin,Penicillin,19A,125,107,80,45,27,18,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
5,NA,3422,B,2011-2015,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2011,1,2015,NA,NA,0,5,1,2,1,NA,1,NA,macrolide,Erythromycin,19A,125,92,92,33,NA,33,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
6,NA,3422,B,2011-2015,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2011,1,2015,NA,NA,0,5,1,2,1,NA,1,NA,SXT,SXT,19A,125,117,103,22,14,8,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
7,NA,3422,C,2016-2017,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2016,NA,2017,12,NA,0,5,1,2,1,NA,1,NA,penicillin,Penicillin,19A,91,79,65,26,14,12,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
8,NA,3422,C,2016-2017,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2016,NA,2017,12,NA,0,5,1,2,1,NA,1,NA,macrolide,Erythromycin,19A,91,78,78,13,NA,13,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
9,NA,3422,C,2016-2017,Brazil,,NA,NA,2018,Cassiolato,10.1371/journal.pone.0208211,2016,NA,2017,12,NA,0,5,1,2,1,NA,1,NA,SXT,SXT,19A,91,85,79,12,6,6,NA,NA,NA,NA,134,tropical_latin_america,12,latin_america_caribbean,2,BRAZIL,brazil,Brazil,BRA,Non-Gavi,AMRO,Upper middle income,Introduced into national immunization program,Universal,11/1/10,PCV10,NA,11/1/10,NA,0,,,,,2010
10,NA,3431,A,2004,Australia,,NA,NA,2018,Rockett,10.1038/s41598-018-35270-1,2004,NA,2004,NA,NA,0,5,1,2,3,NA,2,NA,penicillin,Penicillin,19A,8,5,0,8,5,3,NA,NA,NA,NA,70,australasia,4,high_income,1,AUSTRALIA,australia,Australia,AUS,Non-Gavi,WPRO,High income,Introduced into national immunization program,Universal,1/1/05,PCV13,2011,1/1/11,NA,1,PCV7 to PCV13,PCV7,1/1/05,1/1/11,2005
