rowID,studyID,arm_id,arm_des,data_source,abstractor,country,city,special_pop_description,special_pop,pub_year,author,doi,sample_collection_startyear,sample_collection_startmo,sample_collection_endyear,sample_collection_endmo,pop_vac,age_min,age_max,isolate_type,isolate_col,method_1,method_2,criteria,criteria_specify,drug_class,drug,total_isolates_drug,no_ns,no_res,no_int,no_sus,perc_ns,perc_res,perc_int,perc_sus
1,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,penicillin,Penicillin,183,36,,,,0.196721312,,,
2,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,macrolide,Macrolide,183,174,,,,0.950819672,,,
3,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,tetracycline,Tetracycline,183,172,,,,0.93989071,,,
4,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,levofloxacin,Levofloxacin,183,1,,,,0.005464481,,,
5,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,SXT,SXT,183,140,,,,0.765027322,,,
6,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,chloramphenicol,Chloramphenicol,183,71,,,,0.387978142,,,
7,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,lincosamides,Clindamycin,183,149,,,,0.81420765,,,
8,7,,,1,B,South Korea,,,0,2018,Yun KW,10.1186/s12879-018-3177-7,1995,,2013,,No,0,18,1,2,2,,1,,3gen_cephalosporin,Cephalosporin,183,49,,,,0.267759563,,,
9,17,,,1,B,Mozambique,"Three areas: Manhica district, Maputo and Nampula",HIV infected children,1,2018,Verani JR,10.1371/journal.pone.0191113,2012,,2013,,No,0,5,0,1,6,,1,,penicillin,Penicillin,343,3,0,3,340,0.008746356,0,,0.9912
10,17,,,1,B,Mozambique,"Three areas: Manhica district, Maputo and Nampula",HIV infected children,1,2018,Verani JR,10.1371/journal.pone.0191113,2012,,2013,,No,0,5,0,1,6,,1,,macrolide,Erythromycin,343,57,56,1,286,0.166180758,0.163265306,,
11,17,,,1,B,Mozambique,"Three areas: Manhica district, Maputo and Nampula",HIV infected children,1,2018,Verani JR,10.1371/journal.pone.0191113,2012,,2013,,No,0,5,0,1,6,,1,,SXT,SXT,343,328,304,24,15,0.956268222,0.886297376,,
12,17,,,1,B,Mozambique,"Three areas: Manhica district, Maputo and Nampula",HIV infected children,1,2018,Verani JR,10.1371/journal.pone.0191113,2012,,2013,,No,0,5,0,1,6,,1,,chloramphenicol,Chloramphenicol,343,23,23,0,320,0.067055394,0.067055394,,
13,17,,,1,B,Mozambique,"Three areas: Manhica district, Maputo and Nampula",HIV infected children,1,2018,Verani JR,10.1371/journal.pone.0191113,2012,,2013,,No,0,5,0,1,6,,1,,3gen_cephalosporin,Ceftriaxone,343,0,0,0,343,0,0,,
14,70,,,1,B,Ethiopia,Amhara Region,HIV children attending ART clinic of Felegehiwor Referral Hospital,1,2018,Mulu W,10.1371/journal.pone.0196722,2016,,2017,,No,0,18,0,1,1,,1,,penicillin,Penicillin,31,,6,,,,0.193548387,,
15,70,,,1,B,Ethiopia,Amhara Region,HIV children attending ART clinic of Felegehiwor Referral Hospital,1,2018,Mulu W,10.1371/journal.pone.0196722,2016,,2017,,No,0,18,0,1,1,,1,,macrolide,Erythromycin,31,,11,,,,0.35483871,,
16,70,,,1,B,Ethiopia,Amhara Region,HIV children attending ART clinic of Felegehiwor Referral Hospital,1,2018,Mulu W,10.1371/journal.pone.0196722,2016,,2017,,No,0,18,0,1,1,,1,,tetracycline,Tetracycline,31,,11,,,,0.35483871,,
17,70,,,1,B,Ethiopia,Amhara Region,HIV children attending ART clinic of Felegehiwor Referral Hospital,1,2018,Mulu W,10.1371/journal.pone.0196722,2016,,2017,,No,0,18,0,1,1,,1,,SXT,SXT,31,,8,,,,0.258064516,,
